EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,__V-K_0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,Fig,recno,Teff,dr2_source_id,epic_number,tm_name,k2_gaia_ang_dist,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,flag_bad_gaiamatch,M_G
211063235,54.94306,23.98144,16.85,11.83,4.91,1.1377,0.0,0.0,0.0,0.058,1,best,1.14,1,0.0,1,1,Fig,32,3294.668983489846,68175806892217216,211063235,2MASS J03394633+2358531,0.05085671049928812,68175806892217216,0.13268895,-0.02137661,54.94318764852998,23.98123193567468,7.270878825569996,0.041032735,177.19704,20.559818902988496,-44.36520201194455,1.0578907,795.8009,15.53727,67.393585,14456.10665680733,290.62668,1.4493339,0,0,0,0,2.6416683,1.4521656,1.1895027,131.8298,7.2182245,2,3.816704,nan,nan,165.31889879654145,-24.719328183946043,58.24392250729382,4.3237991661519155,0,3469.2036,3466.603,3471.284,0.987,0.6412,0.4056,False,9.84520412665507
211054634,54.9499,23.84916,17.23,11.83,5.29,0.3847,0.447,0.0,0.0,0.029,1,best,0.0,0,40.0,1,1,Fig,33,2878.311406401088,68147391388599808,211054634,2MASS J03394797+2350570,0.2627025112626247,68147391388599808,0.16848694,-0.030887604,54.95000439198446,23.848945081679698,7.735459904904693,0.051293038,150.80916,21.781214122121135,-47.44800048113087,1.0551088,876.08875,15.734668,60.017246,12765.701244379328,380.39078,1.4819982,0,3,0,0,2.9731255,1.721242,1.2518835,152.89989,8.210202,2,2.9973462,nan,nan,165.41978245579438,-24.81496983110997,58.21961535607251,4.193602913338085,0,3288.045,3285.0732,3290.6633,1.1617,0.7279,0.488,False,10.177098474995354
210989020,55.76746,22.80098,15.16,10.78,4.27,0.3103,0.0,0.0,0.0,0.076,1,best,0.31,1,55.0,1,1,Fig,116,3539.892529742452,64841503521468544,210989020,2MASS J03430418+2248035,0.0946047706950907,64841503521468544,0.6886604,-0.02073288,55.76757280534597,22.800769543491423,7.642530346462955,0.15471333,49.398006,21.911937015344915,-43.99242939123414,8.485833,626.3453,14.297123,109.54004,41315.162996632986,234.49861,1.3868268,0,1,0,0,2.2963095,1.2068081,1.0895014,-27.543713,8.69396,2,9.101776,nan,nan,166.80630743555363,-25.101557351645326,58.71434403282337,3.0025985017198242,1,3736.0442,3682.852,3766.3948,0.8349,0.5656,0.3355,False,8.713308814671576
211105839,55.80444,24.6554,15.99,11.29,4.59,0.2562,0.0,0.0,0.0,0.013,1,best,0.26,1,120.0,1,1,Fig,122,3428.935000769572,68314414077327744,211105839,2MASS J03431306+2439194,0.045063415261274324,68314414077327744,0.064257935,-0.022738457,55.80453808024451,24.655242876769755,7.217567238529469,0.032048956,225.20444,20.551216953824404,-43.95459477600215,1.0124867,1536.8107,14.889832,229.58762,24787.310248853086,865.94025,1.407117,0,4,0,1,2.432414,1.3049049,1.1275091,36.80986,7.7978625,2,6.6744614,nan,nan,165.47858529102052,-23.695036917102072,59.16414286243814,4.802279384915886,0,3580.1262,3554.895,3591.039,0.9425,0.6295,0.3787,False,9.181785735165377
211081122,56.04129,24.2678,16.36,11.53,4.72,1.2348,0.0,0.0,0.0,0.019,1,best,1.24,1,0.0,1,1,Fig,164,3383.420845213881,65289588870240384,211081122,2MASS J03440990+2416040,0.11576862078741806,65289588870240384,0.06929201,-0.028695107,56.04138926525986,24.26762455350562,7.302329783350095,0.037919894,192.57253,21.472255504994394,-43.34423303830621,1.1070453,1165.7428,15.17523,147.13112,19569.606122704805,438.07837,1.4258412,0,4,0,0,2.5290985,1.3728085,1.15629,-44.00827,5.583667,2,5.8967524,nan,nan,165.93596510918715,-23.841711702217655,59.28800366193305,4.376269834026108,0,3534.3364,3525.98,3548.562,0.938,0.6202,0.3802,False,9.49253723823659
211117626,56.34788,24.8508,15.28,11.04,4.13,1.2481,0.0,0.0,0.0,0.112,2,best,1.25,1,16.0,1,1,Fig,240,3599.2439647547153,69810093488518784,211117626,2MASS J03452349+2451029,0.03364940440374164,69810093488518784,0.062041115,-0.008841515,56.34798254632309,24.850604376158834,7.161952455113753,0.049776085,143.88339,20.86347881991913,-44.53971579856422,2.2932675,655.06494,14.467274,159.72752,34998.961034555934,229.88234,1.3886147,0,0,0,1,2.2317667,1.1522503,1.0795164,53.91914,7.6112523,2,7.4190326,nan,nan,165.73921177898356,-23.221159695021214,59.69065623470838,4.882781012553209,0,3725.4148,3715.825,3757.7163,0.7287,0.4965,0.289,False,8.742430880185573
211103222,56.52346,24.61235,0.0,11.44,4.6,1.1298,0.0,0.0,0.0,0.059,1,best,0.0,0,0.0,1,1,Fig,276,3425.6165561069965,66800180408292992,211103222,2MASS J03460562+2436444,0.11646976705413829,66800180408292992,0.0621676,-0.0248909,56.523586281705164,24.612159232258236,7.342569093725325,0.036498327,201.1755,21.31815347205297,-44.54099990974814,1.0981,658.50854,15.064789,99.48748,21425.228164658798,228.89397,1.4230554,0,0,0,0,2.4615822,1.3173752,1.144207,39.266163,8.372036,2,3.6044095,nan,nan,166.0417424291405,-23.29215257348612,59.79395655548396,4.615016961413609,0,3504.7285,3497.248,3512.9072,0.7871,0.5213,0.3203,False,9.394029028029484
211107734,56.57472,24.686,16.51,11.69,4.71,5.5174,0.0,0.0,0.0,0.038,3,best,5.49,1,0.0,1,1,Fig,292,3387.1837035517483,66807464672814336,211107734,2MASS J03461793+2441095,0.1360584241311389,66807464672814336,0.063159965,-0.02282238,56.57483292830163,24.68579851334693,7.373324442202136,0.040124435,183.76146,20.782566863578815,-44.5278180928463,1.110405,1519.4243,15.306499,124.10377,17374.857378224682,700.4941,1.4257302,0,1,0,0,2.5445137,1.3861074,1.1584063,-30.122961,9.287708,2,3.9655592,nan,nan,166.02579044358544,-23.206261084699584,59.855795364186335,4.676606032710039,0,3553.7244,3544.2224,3559.713,0.8361,0.5502,0.3435,False,9.64481524862109
211003744,57.02425,23.03414,16.16,11.55,4.5,1.562,0.0,0.0,0.0,0.058,1,best,1.56,1,10.0,1,1,Fig,439,3458.4547639566226,64895139073954944,211003744,2MASS J03480581+2302030,0.07239054933266009,64895139073954944,0.111366816,-0.031861305,57.02435006099223,23.0339500921625,7.309302082629353,0.031006156,235.73712,19.293114387985597,-44.997770784618794,1.1005108,739.3572,15.133998,115.09183,20188.236158971355,241.75407,1.4185754,0,1,0,0,2.5159779,1.3671293,1.1488485,-93.64639,5.084837,2,5.789748,nan,nan,167.57361229224486,-24.14875627300691,59.89645035189133,2.974859117803449,0,3317.1917,3312.531,3322.3071,0.5404,0.3542,0.2193,False,9.45337747218824
210951703,57.10627,22.21159,14.02,10.6,3.31,0.3992,0.0,0.0,0.0,0.114,1,best,0.4,1,0.0,1,1,Fig,475,4115.726361257511,64009448097245440,210951703,2MASS J03482550+2212417,0.054446955631772105,64009448097245440,0.06640492,-0.002412796,57.10636705902224,22.211391174097333,6.539304389916251,0.016790947,389.45416,17.353895783853417,-40.577428216333,1.0501448,440.71008,13.571043,114.398766,66869.59486339071,199.0522,1.3009849,0,2,0,3,1.6808023,0.7945833,0.886219,55.50205,4.7808776,2,11.448189,nan,nan,168.25015980939236,-24.699100752630066,59.792185564599954,2.1554170477058725,0,5032.8633,5014.292,5059.0796,1.6592,1.2674,0.6895,False,7.6487007808510015
211068337,57.31836,24.06367,15.52,10.75,4.66,0.4015,0.5806,0.0,0.0,0.021,1,best,0.0,0,0.0,1,1,Fig,525,3405.212492067689,66525783539163264,211068337,2MASS J03491640+2403491,0.8347660707461235,66525783539163264,45.85574,0.13925076,57.31846378788758,24.06346459389195,nan,nan,nan,nan,nan,nan,114.23314,14.58757,194.77243,39413.77295163557,759.7578,1.6676693,0,11,1,0,2.54597,1.2171755,1.3287945,45.38776,9.868837,2,9.457182,nan,nan,167.02660374783082,-23.209796453780307,60.38300119667288,3.921813293341227,0,nan,nan,nan,nan,nan,nan,True,nan
211069510,58.78735,24.08412,0.0,11.89,4.93,1.828,0.0,0.0,0.0,0.048,2,best,0.0,0,0.0,1,1,Fig,683,3282.5837514556324,65823676643738368,211069510,2MASS J03550896+2405028,0.6868634933558075,65823676643738368,0.12743615,-0.0254488,58.7874571658436,24.083901130667407,7.323080413458586,0.04266217,171.65279,18.337982236034204,-45.31658974362531,1.1166182,1064.9775,15.64664,132.95201,13234.114508907382,373.45386,1.4544413,0,0,0,1,2.7174673,1.5144854,1.202982,-37.939877,5.8070617,2,4.149636,nan,nan,168.07142432590584,-22.276617100307085,61.70123621674186,3.658880995374438,0,3479.9026,3476.7615,3483.4998,0.9739,0.6291,0.4046,False,9.970108839285519
210892390,58.91459,21.2728,0.0,10.9,4.39,1.4066,0.0,0.0,0.0,0.037,2,best,0.0,0,0.0,1,1,Fig,690,3495.5361616058926,51730067879582080,210892390,2MASS J03553950+2116220,0.058520057583261315,51730067879582080,0.024122274,-0.016758919,58.91469673384163,21.27260374152849,6.739295486641266,0.03224268,209.01784,19.17097979510673,-44.53663315183073,1.4717368,1307.0406,14.325708,243.70937,39542.42595380731,463.76038,1.3821737,0,1,0,1,2.2098265,1.1393557,1.0704708,34.457596,6.6617146,2,11.288351,nan,nan,170.29502188663375,-24.211444697551848,61.236746466384595,0.8836688472104118,0,3717.3552,3711.1138,3729.1755,0.7769,0.5317,0.3086,False,8.468780882154569
210846442,59.04716,20.57508,0.0,11.84,4.88,1.1199,0.0,0.0,0.0,0.032,2,best,0.0,0,0.0,1,1,Fig,696,3311.578518410336,51365476695288064,210846442,2MASS J03561132+2034303,0.2816048813584926,51365476695288064,0.13407096,-0.023709297,59.047279469582435,20.574821548169723,8.126477928333248,0.042290814,192.15706,20.968668383078526,-48.89133294733804,1.1038644,1167.1326,15.5751095,149.21321,14233.772238883215,554.16077,1.4613454,0,1,0,1,2.736967,1.526453,1.2105141,45.469147,5.8180885,2,4.4798365,nan,nan,170.93142588656184,-24.619400568566267,61.21491378766258,0.17531907998920243,0,3328.5728,3324.586,3352.26,0.8468,0.5427,0.3515,False,10.124621282527873
211141632,59.37562,25.27971,0.0,11.61,4.37,2.6829,0.0,0.0,0.0,0.031,1,best,0.0,0,0.0,1,1,Fig,710,3502.5840426804352,67046780250475520,211141632,2MASS J03573015+2516469,0.04186515355834152,67046780250475520,0.11478752,-0.019454002,59.37571143713621,25.27954546488887,6.2993591238593725,0.037136436,169.62746,16.908245049374024,-37.940405028701456,1.1463574,1364.8481,15.079865,248.52658,20154.50267167871,564.01776,1.38817,0,1,0,0,2.3100262,1.2171259,1.0929003,-56.1345,7.859022,2,4.93894,nan,nan,167.59740176271978,-21.043257380002487,62.47148933650414,4.719609356657816,0,3656.4114,3648.7454,3667.9614,0.8175,0.5544,0.3258,False,9.07634729565002
210940618,61.73343,22.0347,0.0,10.83,4.25,1.4102,0.0,0.0,0.0,0.034,1,best,0.0,0,0.0,1,1,Fig,757,3547.8275263975784,53105728725582976,210940618,2MASS J04065602+2202049,0.09426530119808059,53105728725582976,0.060183164,-0.012022972,61.733535182577036,22.034448173178877,7.335246904574256,0.022842562,321.12192,18.053060761550014,-46.289392325205924,1.1631474,917.1907,14.216793,206.13898,42313.30387073758,383.5382,1.3554946,0,0,0,0,2.134594,1.0995045,1.0350895,-27.477623,5.758351,2,9.789129,nan,nan,171.70287028253225,-21.81034687034758,63.95575048053798,1.1145828782983551,0,4033.8594,4025.8,4049.622,1.1432,0.7988,0.4455,False,8.543866744239097
