Seq,f_Seq,Source,RA_ICRS,DE_ICRS,GBP-GRP,Teff,Gmag,gmag_lc,Prot,Note,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G
59,n,5096891158212909312,04 12 46.0,-16 19 29.1,1.181,4907,11.994,6.187,3.68,Rapid,5096891158212909312,1.181,5096891158212909312,0.18118377,-0.0030574799,63.191613287634326,-16.32474487865415,6.958284166284113,0.016116645,431.74518,-7.537261294448167,-2.5012540774059873,1.0504721,510.16064,11.991116,144.44962,234147.51267488944,206.05956,1.2360154,0,0,0,0,1.1659575,0.4990139,0.66694355,19.393517,2.628856,1,36.35736,28.66138,11.521462,210.67009757583804,-42.32817159294763,57.29441434248648,-36.76953317903089,0,5149.9746,5137.688,5174.1333,0.4598,0.3671,0.1959,4813.623896712449,0,False,0.0030574799,False,6.203626373736672
60,n,4871041608622321664,04 28 28.9,-33 53 45.1,1.193,4924,11.63,6.037,6.5,Rapid,4871041608622321664,1.193,4871041608622321664,0.27734882,-0.0034542084,67.12058039306149,-33.89586779568461,7.615987149023296,0.02255455,337.66965,-12.050538095918865,9.208007896188002,1.9085093,1708.59,11.626949,495.36935,329198.67366602476,843.79816,1.2369841,0,2,0,1,1.179246,0.506547,0.672699,15.10115,2.628653,1,62.317844,33.132248,14.045909,235.1545443835578,-43.297454306832236,56.07528893151954,-54.6730338580271,3,4915.0356,4908.6636,4921.756,0.2757,0.2188,0.1174,4788.978537538342,0,False,0.0034542084,False,6.035580323113802
68,n,3199896668704440064,04 38 55.5,-06 40 25.0,1.242,4890,12.458,6.305,4.28,Rapid,3199896668704440064,1.242,3199896668704440064,0.17321233,-0.01587677,69.73110654443497,-6.673612118201191,5.905574600048193,0.014592909,404.68796,-8.866406892494847,-4.956684998970329,1.0074211,741.1785,12.441821,207.73126,158040.9450425168,285.2162,1.2408477,0,1,0,0,1.2198792,0.52902985,0.6908493,18.919258,2.6180665,1,32.317047,17.51432,15.063545,203.10426540163417,-32.417802250190334,66.94934062126956,-28.50535231271663,0,4889.117,4882.157,4897.1274,0.2785,0.2199,0.1172,4693.305228775587,0,False,0.01587677,False,6.298131898075054
69,n,5114686272872474880,03 47 25.8,-12 32 30.9,1.247,5006,12.634,6.55,9.0,Conv.,5114686272872474880,1.247,5114686272872474880,0.12902442,-0.010612488,56.857436739950565,-12.541903999871348,6.122095247445659,0.017902015,341.97803,-2.600255455178029,-0.8945910044923541,1.0980086,2027.3903,12.623689,596.3744,133252.94593655452,906.6908,1.2344238,0,1,0,0,1.2262192,0.5387335,0.6874857,19.379574,3.288672,1,19.022568,7.8445754,15.790763,202.32929177718944,-46.38298113740049,51.189380578424604,-31.624536662189833,0,4779.9077,4771.6855,4787.7705,0.1566,0.1227,0.0649,4683.975509438259,0,False,0.010612488,False,6.558189108112277
71,n,5106733402188456320,03 24 25.2,-15 50 05.4,1.278,4944,11.517,6.197,0.62,Rapid,5106733402188456320,1.278,5106733402188456320,0.2985397,0.012587547,51.104971103054375,-15.83482222958036,8.544446567727695,0.08895968,96.04853,-0.43190685434377263,-4.57958390011881,4.692701,530.42914,11.529411,152.17215,375222.2733659054,217.53897,1.2524254,0,1,0,1,1.265914,0.5486765,0.7172375,11.317054,3.3619256,1,49.62829,nan,nan,203.24313152899626,-52.83166676375236,43.75831322810919,-33.242896120130915,1,5525.451,5500.6187,5540.1826,1.0084,0.8099,0.4391,4627.830347186981,0,False,0.012587547,False,6.187831007336483
73,n,3172630287868034944,04 26 48.2,-15 25 47.4,1.307,4881,12.334,6.599,5.85,LM,3172630287868034944,1.307,3172630292164472192,1.5833907,0.038098335,66.70074008410529,-15.429838310726966,6.133156284564102,0.04602784,133.24884,-8.760549949215092,-0.022898389455330743,4.0961466,818.72314,12.371653,247.84882,187180.71207102225,377.55026,1.3481911,0,72,0,72,1.2865763,0.4821663,0.80441,20.041948,3.1211944,1,36.706112,58.223484,47.963978,211.27186478446825,-38.86637129285513,61.64418479918735,-36.60354906244017,0,5294.4365,5282.8926,5308.4644,0.8162,0.6508,0.3506,4577.840372772611,0,False,0.038098335,False,6.310072760566182
74,n,5161117923061794688,02 59 52.0,-09 47 35.8,1.308,4800,12.063,6.639,5.45,LM,5161117923061794688,1.308,5161117923061794688,0.1799323,0.010989189,44.96679440997395,-9.793266298937063,8.281496774880384,0.01960246,422.4723,0.19398748629438584,-5.790103019232891,1.1999959,312.79074,12.073931,116.014946,225668.98651075296,172.87743,1.2329816,0,0,0,0,1.2932348,0.58351994,0.7097149,19.103354,2.2119823,1,29.436632,nan,nan,189.29450764651577,-55.129119794108824,39.33037725702444,-25.662511148977096,0,4757.9346,4740.245,4769.0854,0.333,0.2593,0.1377,4576.158311397052,0,False,0.010989189,False,6.664474925684438
86,n,3177883999240571904,04 35 35.3,-12 47 47.6,1.48,4512,12.828,6.356,4.0,LM,3177883999240571904,1.48,3177883999240571904,0.12072972,-0.004760742,68.89690150802465,-12.796551781913717,5.133862541429655,0.020095352,255.47511,-6.706520362500038,-2.0134942530859297,1.531602,1112.3611,12.823606,292.34674,122856.98623928677,458.05048,1.2692529,0,1,0,0,1.4714937,0.6722841,0.7992096,14.544922,34.19505,1,31.709656,nan,nan,209.30368601749808,-35.862342847009366,64.81338053004193,-34.40892788977986,0,4612.0215,4541.3237,4627.9697,0.7097,0.5435,0.2936,4321.625467690077,0,False,0.004760742,False,6.375826718949698
88,n,5159567164990031360,03 04 46.0,-12 16 57.9,1.56,4330,12.613,7.098,0.45,LM,5159567164990031360,1.56,5159567164990031360,0.24434935,-0.008333206,46.19151557039024,-12.282741118942866,8.11838277906402,0.059415407,136.63766,0.5906031983394922,-4.784760398512016,4.0137587,736.1879,12.605171,206.91678,154983.96699636886,331.00848,1.2824429,0,1,0,0,1.5466089,0.7136164,0.83299255,18.74843,6.5873933,1,24.285358,nan,nan,194.1183797523525,-55.443634637518144,39.738560110062025,-28.402955860628047,1,4627.4614,4617.068,4641.34,0.9296,0.7085,0.385,4221.441907989772,0,False,0.008333206,False,7.15251882513958
89,n,5081912751826042624,03 47 01.6,-26 16 11.2,1.577,4410,12.968,7.389,4.5,LM,5081912751826042624,1.577,5081912751826042624,0.10219222,-0.012073517,56.75651058497294,-26.269764116497267,7.75665773905672,0.014223696,545.3335,-5.826796302901814,6.1299793916695124,0.98583436,1811.3237,12.955694,459.15323,112164.7944119008,671.3367,1.2763511,0,2,0,1,1.5624456,0.73000526,0.8324404,18.177084,19.003098,1,47.45947,16.880648,19.379961,222.00293599681174,-50.977302024420965,46.1672760044849,-44.780837017935454,0,nan,nan,nan,nan,nan,nan,4201.225720379593,0,False,0.012073517,False,7.404067342165286
97,n,5114516020369038848,03 51 15.9,-12 23 46.4,1.732,4298,13.375,7.484,0.68,LM,5114516020369038848,1.732,5114516020369038848,1.1590401,-0.012266159,57.816187364380795,-12.39622956377558,6.953320452405716,0.04642749,149.76732,-5.441357620317986,-1.6583768454035281,1.9530165,1459.3976,13.360326,376.03622,92659.70890410566,349.13736,1.4712213,0,41,0,40,1.7182837,0.6886263,1.0296574,20.629412,4.1870747,2,7.401772,nan,nan,202.73779857351676,-45.479183375412006,52.29694818484143,-31.71970947765243,0,4277.411,4260.245,4296.62,0.4672,0.3421,0.1834,4029.7347474270628,0,False,0.012266159,False,7.57128703752956
99,n,5094664333632217088,04 02 18.0,-18 42 45.4,1.771,4076,12.631,7.134,2.62,LM,5094664333632217088,1.771,5094664333632217088,0.20489305,-0.016404152,60.57490433832121,-18.71260564570563,8.142078969353008,0.017087037,476.5062,-10.266773918278577,0.7190647528423171,1.4521204,1139.2386,12.614749,292.1019,165265.75148807673,365.35843,1.3065389,0,2,0,1,1.763114,0.8508034,0.9123106,19.746443,4.3920693,1,31.903559,12.141003,19.42379,212.51918593755843,-45.51490115005531,53.51874931074874,-38.49871129078123,0,5114.2695,5107.937,5128.7437,1.7737,1.3408,0.7166,3989.4919089024843,0,False,0.016404152,False,7.168425506023956
